text,label
"Ik ben een jongen. Mijn naam is Mark. Ik ben 7 jaar oud. Ik woon in Nederland.",A1
"Ik ga naar de winkel om brood te kopen. De winkel is dichtbij mijn huis. Ik koop altijd vers brood.",A2
"Vandaag ga ik naar de stad om een cadeau voor mijn vriend te kopen. Ik moet naar de supermarkt om ingrediënten voor het avondeten te halen.",B1
"Het is belangrijk om goed voorbereid te zijn op een sollicitatiegesprek. Je moet niet alleen je cv goed presenteren, maar ook je communicatieve vaardigheden inzetten om de interviewer te overtuigen van jouw kwaliteiten.",B2
"De economische situatie in Europa is complex. Er wordt gesproken over de gevolgen van de Brexit en de invloed van de wereldwijde handelsoorlogen. Het is belangrijk om verschillende perspectieven in overweging te nemen om een goed begrip te krijgen van de situatie.",C1
"De snelheidsbeperkingen die worden opgelegd door overheden over de wereld variëren sterk, en hoewel ze gericht zijn op het verbeteren van de verkeersveiligheid, zijn er verschillende argumenten voor en tegen dergelijke maatregelen, afhankelijk van het land en de specifieke infrastructuur.",C2
"Ik heb een hond. Hij is groot en zwart. Hij houdt van wandelen.",A1
"Mijn ouders werken in een ziekenhuis. Mijn moeder is arts en mijn vader is verpleegkundige. Ze werken vaak lange uren, maar ze vinden hun werk heel belangrijk.",A2
"De planeet Mars is de vierde planeet van het zonnestelsel. Wetenschappers hebben jarenlang geprobeerd te begrijpen waarom er geen leven is op Mars. Er zijn verschillende theorieën over de mogelijke oorzaken.",B1
"De vraag of kunstmatige intelligentie ooit de menselijke intelligentie kan evenaren, is een onderwerp van intensieve discussie. Sommige wetenschappers geloven dat het mogelijk is, terwijl anderen het idee als sciencefiction afdoen.",B2
"De relatie tussen taal en cultuur is diepgeworteld en complex. Taal is niet alleen een communicatiemiddel, maar ook een spiegel van de maatschappij en haar waarden. Door taal te bestuderen, kunnen we inzicht krijgen in de manier waarop culturen zich ontwikkelen en met elkaar in contact komen.",C1
"Het fenomeen van globalisering heeft de grenzen tussen landen vervaagd. Economieën zijn steeds meer met elkaar verweven, maar dit heeft niet alleen positieve gevolgen. Er zijn veel mensen die stellen dat globalisering de ongelijkheid vergroot en de culturele diversiteit bedreigt.",C2
"Ik hou van lezen. Ik lees elke dag een boek.",A1
"Mijn broer studeert aan de universiteit. Hij leert veel over geschiedenis en economie. Hij heeft al veel interessante boeken gelezen.",A2
"Het boekenweekend is een jaarlijkse gebeurtenis in Nederland, waarbij verschillende auteurs hun nieuwste werken presenteren. Het evenement trekt altijd veel bezoekers, vooral omdat boekenliefhebbers de kans krijgen om met hun favoriete schrijvers te praten.",B1
"De digitale transformatie heeft veel invloed op de manier waarop bedrijven opereren. Technologie verandert de werkomgeving, van cloud computing tot kunstmatige intelligentie. Dit biedt kansen voor bedrijven, maar brengt ook nieuwe uitdagingen met zich mee, vooral op het gebied van privacy en beveiliging.",B2
"De ethiek van genetische modificatie is een onderwerp van hevige debatten. Enerzijds kan genetische manipulatie bijdragen aan de oplossing van wereldvoedselproblemen, maar anderzijds roept het ernstige vragen op over de grenzen van de wetenschap en de potentiële risico’s voor de natuur.",C1
"De technologische vooruitgang in de biotechnologie, in combinatie met de ontwikkelingen in de geneeskunde, heeft de mogelijkheid om het menselijke genoom te bewerken en zelfs te optimaliseren. Dit opent de deur naar genetische therapieën voor ziektes die vroeger ongeneeslijk waren, maar roept tegelijkertijd ethische vraagstukken op.",C2
"Mijn moeder kookt het avondeten. Ze maakt soep.",A1
"De zon schijnt en het is warm buiten. Ik ga naar het park om te spelen.",A2
"Tijdens de zomer zijn er veel festivals in de stad. Het is een leuke manier om muziek te ontdekken en nieuwe mensen te ontmoeten. Veel mensen genieten van het buitenleven en de gezellige sfeer.",B1
"De impact van klimaatverandering is steeds zichtbaarder geworden. Wereldwijd stijgen de temperaturen, wat leidt tot veranderingen in het milieu. Dit heeft gevolgen voor de biodiversiteit, maar ook voor de economieën van veel landen.",B2
"De ontwikkeling van quantumcomputers kan de toekomst van de technologie drastisch veranderen. Quantumcomputers hebben het potentieel om problemen op te lossen die klassieke computers niet aankunnen, zoals het kraken van versleutelde gegevens of het simuleren van moleculaire structuren voor medicijnen.",C1
"De onomkeerbare gevolgen van de klimaatcrisis dwingen landen om gezamenlijk actie te ondernemen. Deze wereldwijde uitdaging vereist een herziening van economische systemen en de integratie van duurzaamheid in alle aspecten van het dagelijks leven, van energieproductie tot mobiliteit en voedselproductie.",C2
"Ik woon in Nederland. Mijn naam is Anna. Ik heb een hond. Ik ga elke dag wandelen in het park.",A1
"Mijn favoriete hobby is lezen. Ik lees boeken over geschiedenis. Ik vind geschiedenis interessant omdat ik veel leer over de wereld. Soms lees ik ook boeken over reizen.",A2
"Ik werk in een kantoor als administratief medewerker. Mijn werkdag begint om negen uur 's ochtends. Ik beantwoord e-mails, maak rapporten en help klanten. In de middag overleg ik met mijn collega's over verschillende projecten.",B1
"De economie is een belangrijk onderwerp in de politiek. Veel mensen maken zich zorgen over de toekomst van de arbeidsmarkt. Er wordt gesproken over de gevolgen van automatisering en digitalisering. We moeten manieren vinden om werkgelegenheid te behouden in deze snel veranderende wereld.",B2
"De impact van klimaatverandering op het milieu is steeds duidelijker zichtbaar. Wetenschappers waarschuwen voor extreme weersomstandigheden en stijgende zeespiegels. Het is van cruciaal belang dat regeringen wereldwijd actie ondernemen om de CO2-uitstoot te verminderen. Dit vereist niet alleen beleidsveranderingen, maar ook een culturele verschuiving in hoe we omgaan met het milieu.",C1
"De recente ontwikkelingen in kunstmatige intelligentie roepen zowel enthousiasme als bezorgdheid op. Terwijl de technologie ongekende mogelijkheden biedt voor vooruitgang in diverse sectoren, zijn er tegelijkertijd ethische dilemma's die moeten worden overwonnen. De vraag naar regulering wordt steeds urgenter, vooral gezien de snelheid waarmee AI-systemen zich ontwikkelen. De samenleving staat voor de uitdaging om een evenwicht te vinden tussen innovatie en verantwoordelijkheid.",C2
"Dit is een appel. Ik eet de appel. Het is lekker. De appel is rood.",A1
"Mijn moeder is thuis. Zij werkt in een ziekenhuis. Ze zorgt voor patiënten die ziek zijn. Elke dag werkt ze hard om mensen beter te maken.",A2
"Ik ga naar de winkel. Ik koop brood, melk en kaas. Daarna ga ik naar huis. Ik ben blij omdat ik lekker kan eten.",A2
"Ik woon in een klein dorp. Het is rustig hier en er is veel groen. In de zomer ga ik vaak fietsen in de natuur. Er zijn veel wandelroutes en ik geniet altijd van de frisse lucht.",B1
"De stad is heel druk, maar ook interessant. Er zijn veel winkels, cafés en restaurants. In het weekend ga ik graag naar een café om koffie te drinken met vrienden. We praten over van alles, van werk tot vakantieplannen.",B1
"Technologie verandert snel. Elke dag worden er nieuwe apparaten en apps ontwikkeld. Dit heeft zowel voordelen als nadelen. Aan de ene kant kunnen we sneller communiceren en informatie vinden, maar aan de andere kant kunnen we ook afhankelijk worden van technologie. Het is belangrijk om een balans te vinden.",B2
"De klimaatverandering is een groot probleem dat de hele wereld aangaat. De afgelopen jaren zijn er veel natuurrampen geweest, zoals overstromingen en bosbranden. Wetenschappers zeggen dat we ons gedrag moeten veranderen om de aarde te beschermen. Dit kan door minder energie te verbruiken en duurzamer te leven.",B2
"Het is belangrijk om een kritische houding te hebben ten opzichte van de media. In een tijd van sociale media en 24/7 nieuws kunnen we gemakkelijk beïnvloed worden door nepnieuws en misinformatie. Het is essentieel om bronnen te verifiëren en te zorgen voor een evenwichtig perspectief. Alleen dan kunnen we weloverwogen beslissingen nemen over wat we geloven.",C1
"De integratie van kunstmatige intelligentie in de gezondheidszorg biedt zowel kansen als uitdagingen. Aan de ene kant kunnen AI-systemen artsen helpen bij het stellen van diagnoses en het personaliseren van behandelingen. Aan de andere kant roept de toenemende afhankelijkheid van technologie ethische vragen op over privacy, autonomie en de rol van de mens in het zorgproces.",C1
"De globalisering heeft de manier waarop we de wereld begrijpen fundamenteel veranderd. Terwijl economische barrières zijn afgebroken en handel tussen landen is toegenomen, heeft deze verandering ook geleid tot nieuwe sociaal-politieke uitdagingen. De kloof tussen rijke en arme landen is groter geworden, en er is een groeiende bezorgdheid over de gevolgen voor lokale culturen en de milieu-impact van wereldwijde productieprocessen. Het debat over de voor- en nadelen van globalisering blijft onverminderd intensief.",C2
"De filosofie van existentiële onzekerheid onderzoekt de fundamentele vragen van het menselijk bestaan, zoals de betekenis van het leven, de rol van vrijheid en verantwoordelijkheid, en de ervaring van vervreemding. Filosoof Jean-Paul Sartre stelde dat mensen zelf hun essentie creëren door keuzes en daden, wat leidt tot de notie van 'authenticiteit'. Echter, deze vrijheid kan tegelijkertijd leiden tot existentiële angst, omdat het besef van verantwoordelijkheid een zware last is. Het zoeken naar betekenis in een ogenschijnlijk chaotische en zinloze wereld vormt de kern van het existentialisme.",C2
"Ik heb een kat. Ze heet Minoes. Ze is heel lief en speelt graag met een bal.",A1
"Elke ochtend eet ik ontbijt. Ik drink thee en eet brood met kaas. Daarna ga ik naar school.",A1
"Mijn vriendin en ik gaan naar de bioscoop. We kijken een grappige film. Na de film drinken we koffie.",A2
"Gisteren heb ik mijn kamer opgeruimd. Ik heb mijn boeken in de kast gezet en de vloer geveegd. Nu ziet het er netjes uit.",A2
"Ik wil graag een nieuwe taal leren. Daarom ga ik een cursus Spaans volgen. Ik hoop dat ik snel een gesprek kan voeren.",B1
"De bibliotheek in onze stad is erg groot. Er zijn veel boeken over verschillende onderwerpen. Ik leen vaak boeken over geschiedenis en wetenschap.",B1
"Het is belangrijk om een gezonde levensstijl te hebben. Regelmatig bewegen en gezond eten kunnen helpen om fit te blijven. Daarnaast is voldoende slaap essentieel voor een goede gezondheid.",B2
"De opkomst van sociale media heeft de manier waarop mensen communiceren veranderd. Mensen delen nu hun leven online, maar dit kan ook negatieve gevolgen hebben, zoals cyberpesten en privacyproblemen.",B2
"De ontwikkeling van duurzame energiebronnen is cruciaal voor het verminderen van de CO2-uitstoot. Zonne-energie en windenergie zijn veelbelovende alternatieven, maar er zijn nog uitdagingen op het gebied van opslag en distributie.",C1
"De globalisering heeft geleid tot een toename van internationale samenwerking, maar ook tot spanningen tussen landen. Economische ongelijkheid en culturele verschillen spelen hierbij een belangrijke rol.",C1
"De filosofie van het existentialisme benadrukt de individuele vrijheid en verantwoordelijkheid van de mens. Volgens existentialisten moeten mensen zelf betekenis geven aan hun leven, ondanks de absurditeit van het bestaan.",C2
"De opkomst van quantumcomputing heeft het potentieel om de technologie-industrie te revolutioneren. Deze computers kunnen problemen oplossen die voor klassieke computers onmogelijk zijn, maar er zijn ook zorgen over de veiligheid van gegevens en de ethische implicaties.",C2
"Ik hou van fietsen. Elke zondag ga ik met mijn vrienden een lange fietstocht maken. We stoppen vaak bij een café om iets te drinken.",A1
"Mijn zusje speelt graag buiten. Ze rent, springt en speelt met haar vriendjes. Soms gaan ze samen voetballen.",A1
"Ik heb een nieuwe telefoon gekocht. Hij is heel modern en heeft een goede camera. Nu kan ik mooie foto's maken van mijn vakanties.",A2
"Vorig jaar ben ik naar Parijs geweest. Ik heb de Eiffeltoren gezien en veel musea bezocht. Het was een onvergetelijke reis.",A2
"Als ik tijd heb, lees ik graag boeken over psychologie. Ik vind het interessant om te leren hoe mensen denken en zich gedragen.",B1
"De universiteit waar ik studeer, organiseert vaak lezingen over actuele onderwerpen. Vorige week was er een lezing over klimaatverandering.",B1
"De invloed van technologie op de arbeidsmarkt is enorm. Veel banen verdwijnen door automatisering, maar er ontstaan ook nieuwe kansen in sectoren zoals IT en duurzame energie.",B2
"Het debat over privacy in het digitale tijdperk wordt steeds relevanter. Mensen zijn zich meer bewust van de risico's van het delen van persoonlijke gegevens online.",B2
"De relatie tussen kunst en maatschappij is complex. Kunst kan zowel een spiegel van de samenleving zijn als een middel om sociale verandering te bevorderen.",C1
"De opkomst van blockchain-technologie heeft de financiële sector veranderd. Deze technologie biedt nieuwe mogelijkheden voor transparantie en veiligheid, maar roept ook vragen op over regulering en toepassing.",C1
"De ethiek van kunstmatige intelligentie is een onderwerp dat steeds meer aandacht krijgt. Hoe kunnen we ervoor zorgen dat AI-systemen eerlijk en transparant zijn, zonder menselijke vooroordelen over te nemen?",C2
"De klimaatcrisis vereist een wereldwijde aanpak. Landen moeten samenwerken om duurzame oplossingen te vinden, maar dit vraagt ook om een verandering in individueel gedrag en consumptiepatronen.",C2
"Ik hou van zwemmen. Elke zomer ga ik naar het zwembad. Het water is dan lekker warm.",A1
"Mijn broer speelt gitaar. Hij oefent elke dag en speelt vaak voor ons thuis. Hij is erg goed geworden.",A1
"Ik ga morgen naar de markt. Ik wil groenten en fruit kopen. Daarna ga ik naar huis om te koken.",A2
"Gisteren heb ik een nieuwe jas gekocht. Hij is warm en past goed bij mijn broek. Ik draag hem vaak in de winter.",A2
"Ik ben van plan om volgend jaar naar het buitenland te reizen. Ik wil nieuwe culturen ontdekken en andere talen leren.",B1
"De stad waar ik woon, heeft veel parken. Ik ga vaak wandelen in het park om te ontspannen. Het is er rustig en groen.",B1
"De impact van sociale media op de mentale gezondheid van jongeren is een groeiend probleem. Veel jongeren ervaren stress door de druk om perfect te lijken online.",B2
"De toekomst van werk zal sterk worden beïnvloed door technologie. Mensen moeten zich blijven ontwikkelen om relevant te blijven op de arbeidsmarkt.",B2
"De ontwikkeling van nieuwe medicijnen is een complex proces dat veel tijd en geld kost. Wetenschappers moeten rekening houden met zowel de effectiviteit als de veiligheid van medicijnen.",C1
"De rol van kunst in de samenleving is veelzijdig. Het kan mensen inspireren, uitdagen en verbinden, maar het kan ook controverses oproepen.",C1
"De opkomst van deepfake-technologie heeft geleid tot nieuwe uitdagingen op het gebied van waarheid en authenticiteit. Hoe kunnen we ervoor zorgen dat deze technologie niet wordt misbruikt voor desinformatie?",C2
"De klimaatcrisis vereist niet alleen technologische innovatie, maar ook een fundamentele verandering in onze waarden en levensstijl. We moeten leren om meer in harmonie met de natuur te leven.",C2
"Je moet op tijd betalen. Als je niet betaalt, kan de verhuurder iets doen om het contract te stoppen en je moet dan weg. Het is belangrijk dat je en de verhuurder afspraken nakomen.", A2
"De huurder moet op tijd betalen. Als de huurder niet op tijd betaalt, kan de verhuurder iets doen om het contract te stoppen en de huurder uit huis te zetten. Het is belangrijk dat iedereen netjes doet wat afgesproken is.", B1